,pbe_hfx_0,pbe_hfx_10,pbe_hfx_100,pbe_hfx_15,pbe_hfx_20,pbe_hfx_25,pbe_hfx_30,pbe_hfx_35,pbe_hfx_40,pbe_hfx_45,pbe_hfx_5,pbe_hfx_50,pbe_hfx_55,pbe_hfx_60,pbe_hfx_65,pbe_hfx_70,pbe_hfx_75,pbe_hfx_80,pbe_hfx_85,pbe_hfx_90,pbe_hfx_95,scan_hfx_0,scan_hfx_10,scan_hfx_100,scan_hfx_15,scan_hfx_20,scan_hfx_25,scan_hfx_30,scan_hfx_35,scan_hfx_40,scan_hfx_45,scan_hfx_5,scan_hfx_50,scan_hfx_55,scan_hfx_60,scan_hfx_65,scan_hfx_70,scan_hfx_75,scan_hfx_80,scan_hfx_85,scan_hfx_90,scan_hfx_95
mn/2/mn_2_misc-C-4-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_amine-N-0-d1_6,-25.90614283872301,-37.84755370286775,-92.4048919305396,-43.36701289947966,-48.38973930726898,-52.82191958757917,-56.994599936597,-60.79819280559889,-64.0969459774246,-67.46108254135858,-32.270631153923745,-70.25036337351119,-73.09975684315611,-75.71442555354058,-78.20674365855183,-80.69231684181358,-82.83105955895128,-84.85767686653577,-86.83420983382024,-88.76521710325194,-90.61744342044473,-35.73516572246396,-44.65368420422147,-93.42378243651383,-48.60151710779599,-52.405721550760425,-55.866104574219726,-59.24943805358645,-62.241254871401544,-65.1044248207196,-68.05098929087038,-40.23534157864434,-70.63188072953555,-73.17470107058999,-75.68322218822439,-78.10841715353453,-80.46349216539643,-82.75091743880053,-84.98587719918572,-87.16402089019502,-89.29474975309958,-91.37911612149125
cr/3/cr_3_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_ammonia-N-0-0_acetonitrile-N-1-0_ammonia-N-0-0_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mn/2/mn_2_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_amine-N-0-d1_6,,-64.27899165499159,-113.96981475542029,-68.27461715037052,-72.30718219694036,-75.83479444909182,-79.37517312982635,-82.60054347088621,-85.69680970296521,-88.58738233437288,-59.76659702997878,-91.37915673122416,-94.07621959440618,-96.63492860364245,-99.06386512884366,-101.39138389503327,-103.58171897648172,-105.80198595778192,-107.96724068517631,-109.95491012910051,-112.01480396023382,-61.829957889860424,-69.28766870475889,-117.7899300651404,-72.67033985366842,-75.9058265350109,-79.02450624522912,-82.03878924239321,-84.90864597675073,-87.77098515945242,-90.52868182680751,-65.65695531820145,-93.17827852097685,-95.836322741856,-98.36907369872388,-100.96655341320694,-103.45405687563762,-105.94637901261552,-108.46608634465603,-110.82221194400387,-113.06224014328266,-115.54940006400653
cr/2/cr_2_formaldehyde-O-1-0_formaldehyde-O-1-0_formaldehyde-O-1-0_formaldehyde-O-1-0_phosphine-P-0-0_phosphine-P-0-0_5,,-53.98292191733322,-100.10938032398185,-59.03458120654006,-63.468005771959895,-67.37901314200813,-70.86226035124582,-73.99083176959758,-76.83058852506976,-79.38630937232979,-48.22419819145395,-81.84895070999143,-84.04478792107307,-86.11416280355989,-88.01969215181686,-89.90742348559124,-91.75045127588042,-93.56031734972848,-95.13235304011812,-96.89542654320151,-98.40011076093235,,,-104.21638076390927,,,-76.91598360419474,-76.95948589898808,-79.70442558139959,-82.06878547108211,-84.16677798810028,,-86.53417053849421,-88.59584391296941,-90.56498282057815,-92.4558936340663,-94.2799177498309,-96.04591172824516,-97.76083324075553,-99.43065254517296,-101.06022364451334,-102.65417658166172
fe/2/a_f/fe_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_SH2-S-0-0_5,,-27.489071714325434,-71.81384425583134,-31.619846554610593,,,-42.19514468400459,-45.23397661576976,-48.077279835112165,-50.7014761344686,,-53.191294657150515,-55.40922674067821,-57.621675144968506,-59.69970101417328,-61.66638732351382,-63.53555176892469,-65.33327065401102,-67.04999015797621,-68.69723947078285,-70.28550923059692,-17.786063246336923,-25.83738629453145,-81.05627034047097,-29.691212462878458,-33.37571218915564,-36.950179068888055,-40.437972664872554,-43.77645716816383,-47.02926525639651,-50.2039374682446,-21.90256452149182,-53.278569236834535,-56.32188006331532,-59.217668743203454,-62.11825573705618,-64.93912659012433,-67.74287906998548,-70.45852034543071,-73.15780815878257,-75.83582250228015,-78.45854853078194
fe/2/other/fe_2_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_fluoride-F-0-d1_fluoride-F-0-d1_5,,-55.869444363380616,-85.51521287150415,-58.520923181833645,-60.92426660008229,-63.14461452504974,-65.20857754578775,-67.14300004377607,-68.9666916650429,-70.69399472375196,-52.89127131576532,-72.33617118445999,-73.9022871647939,-75.39981905821848,-76.83506245041752,-78.21373997375687,-79.53967723477832,-80.81715151174508,-82.05083861198301,-83.2432304481103,-84.3971781728547,-46.43797364526552,-51.69212616622152,-94.44702243759842,-54.228327098412315,-56.72820196570175,-59.1969347048003,-61.64460992688571,-64.07548776833472,-66.49140045458005,-68.89312893642622,-49.103608564914964,-71.27993242678697,-73.65190728779599,-76.01537709105763,-78.36278355704493,-80.69835709952498,-83.01950671843375,-85.32883996060744,-87.625286999292,-89.91039755373312,-92.18398668851151
fe/3/fe_3_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_cs-C-0-0_cs-C-0-0_6,18.228129538195095,4.514195673223102,-71.56320291423603,-1.761967926101432,-7.568413066069282,-12.725102037583708,-17.670893290766625,-22.122245379566404,-25.760773779011636,-29.90141930824133,11.158463389157625,-33.861196294128064,-37.87557813336137,-41.62284401614856,-45.38399852375393,-49.08208716214228,-52.77469434480319,-56.46607941082302,-60.19067867063039,-63.95024020684158,-67.74182580883723,8.253963769680162,-3.7233451782129943,-69.222673388477,-9.907077935024581,-14.677457680220305,-18.913038440435333,-22.809716448151303,-26.96442209782475,-30.593005484822413,-33.972193488816735,2.5300877435236653,-37.33651715460834,-40.45514875231697,-43.51410112818772,-46.6857968765984,-49.8252049776985,-53.336096047661705,-56.48683633522758,-59.64818505990367,-62.77041370034176,-65.97016406499189
cr/3/cr_3_cs-C-0-0_cs-C-0-0_cs-C-0-0_fluoride-F-0-d1_fluoride-F-0-d1_fluoride-F-0-d1_4,1.0081248415692363,-4.846552999073315,-51.585040208177254,-8.132190838445908,-11.54118361699045,-14.970476560426729,-18.55358679840021,-22.086491684853836,-25.52042880039392,-28.68305954892516,-1.734015914345827,-31.67168621449254,-34.387169115075594,-36.89009738147311,-39.15843689254224,-41.311528517041495,-43.30154869896387,-45.16350022471346,-46.913776835243866,-48.53462348214956,-50.07543768056594,-8.789524427816621,-14.713098664778864,-52.25482658509733,-17.69333417897385,-20.887627286544998,-23.967250209793,-27.306979463470235,-30.377209285856345,-33.20033692592186,-35.86217715914425,-11.699068366155377,-38.358554236086995,-40.279855660788826,-42.20197013907645,-43.89682688397679,-45.42725584036886,-46.81728118594059,-48.0633539251251,-49.201448480229764,-50.26743979603167,-51.29279623260891
cr/2/cr_2_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_ammonia-N-0-0_ammonia-N-0-0_5,,-62.11357650414954,-86.90853375091203,-64.43411926720584,-66.5631392130299,-68.45310241747768,-70.2547460313653,-71.91605216216692,-73.47913667772505,-74.92946748050875,-59.555770299314645,-76.29898260684129,-77.60428760269542,-78.82594991608394,-79.99560229187313,-81.11205777838042,-82.17905361988436,-83.20138141530377,-84.18264485021827,-85.12564233120193,-86.03358055456378,-65.54752933207487,-69.29615446859205,-91.00534685975052,-70.95670014386072,-72.56525040226006,-74.0624280335037,-75.48729752980007,-76.86344593225633,-78.15756353802915,-79.40489351287061,-67.49259999358044,-80.61004178377117,-81.77649275321896,-82.90812268166424,-84.00719247267966,-85.07720997605412,-86.12042499778549,-87.13912620393165,-88.13546560058028,-89.11087805563886,-90.06714501008037
co/3/co_3_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_fluoride-F-0-d1_fluoride-F-0-d1_5,13.18141055055798,5.672901604714726,-59.34422677889256,1.855725491811411,-2.00279151181541,-5.909991412394477,-9.833297633589087,-13.759804691265051,-17.673830612780996,-21.560456458382454,9.447589722896195,-25.405556868496316,-29.19593776240442,-32.85705744830534,-36.56519496034196,-40.124632450487056,-43.585759115041235,-47.013295499585546,-50.20764343499739,-53.358632554502215,-56.4059771408169,13.494423005534617,6.328360859363267,-66.73328957340811,2.5730918065765658,-1.2732824339066102,-5.266244211998997,-9.321833398095537,-13.428264712783287,-17.57287332093942,-21.743648201529805,9.976451349852235,-25.92952768866662,-30.056754985286688,-34.270192812766616,-38.46020047644248,-42.59083202475083,-46.724714803773125,-50.8585642797982,-54.87660910287113,-58.861559667861854,-62.835790000731635
