Unnamed: 0,e_corr,e_ccsd,e_ccsdt,e_hf,ecorr_t
co_3_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_fluoride-F-0-d1_fluoride-F-0-d1_5,-3.167154378,-2111.253870816,-2111.375552901,-2108.208398523,96.15799956436084
co_2_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_cs-C-0-0_4,-1.784318993,-3530.47632551,-3530.540528671,-3528.756209678,96.40181148931588
co_2_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_carboxyl-O-1-d1_4,-6.340922577,-2809.555721012,-2809.845829763,-2803.504907186,95.42481795863432
co_2_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_hydroxyl-O-0-d1_4,-1.72215703,-3170.843662855,-3170.896918171,-3169.174761141,96.90763878830089
co_2_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_4,-6.023925343,-2736.365710134,-2736.633437241,-2730.609511898,95.55560383378108
co_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_pyridine-N-3-0_pyridine-N-3-0_4,-5.101948434,-2496.06557488,-2496.260980014,-2491.15903158,96.1699900238558
co_2_furan-O-0-0_furan-O-0-0_furan-O-0-0_imidazole-N-2-0_furan-O-0-0_imidazole-N-2-0_4,-5.978550645,-2751.455283971,-2751.71595202,-2745.737401375,95.63994579157706
co_3_fluoride-F-0-d1_fluoride-F-0-d1_fluoride-F-0-d1_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_5,-4.037172611,-2358.579267054,-2358.741093144,-2354.703920533,95.99159843800425
co_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_amine-N-0-d1_4,-3.444409847,-2100.159256556,-2100.295899887,-2096.85149004,96.03289570435086
co_2_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_misc-C-4-0_4,-6.230642096,-2752.933010146,-2753.220947908,-2746.9903058120003,95.3786823642919
co_2_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_amine-N-0-d1_4,-5.354382126,-2566.638552123,-2566.872902252,-2561.518520126,95.6232087384613
co_2_carboxyl-O-1-d1_carboxyl-O-1-d1_carboxyl-O-1-d1_pyridine-N-3-0_carboxyl-O-1-d1_pyridine-N-3-0_4,-5.184312439,-2632.887537569,-2633.104220008,-2627.919907569,95.82042090345742
co_2_cs-C-0-0_cs-C-0-0_cs-C-0-0_SH2-S-0-0_cs-C-0-0_SH2-S-0-0_4,-2.275429827,-3921.977899769,-3922.086782277,-3919.81135245,95.2148597725169
co_2_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_cyanide-C-0-d1_cyanide-C-0-d1_4,-1.986981336,-2937.99679637,-2938.070938434,-2936.083957098,96.26860793021476
co_2_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_4,-2.732624674,-2060.162845864,-2060.272743918,-2057.540119244,95.97829679846718
co_2_formaldehyde-O-1-0_formaldehyde-O-1-0_formaldehyde-O-1-0_acetonitrile-N-1-0_formaldehyde-O-1-0_acetonitrile-N-1-0_4,-3.184796601,-2103.782477949,-2103.897978045,-2100.713181444,96.37339175872346
co_2_furan-O-0-0_furan-O-0-0_furan-O-0-0_acetonitrile-N-1-0_furan-O-0-0_acetonitrile-N-1-0_4,-5.204618628,-2564.844325281,-2565.065032228,-2559.8604136,95.75940212386068
co_2_carboxyl-O-1-d1_carboxyl-O-1-d1_carboxyl-O-1-d1_carboxyl-O-1-d1_ammonia-N-0-0_ammonia-N-0-0_4,-3.603180528,-2250.27587211,-2250.407846943,-2246.804666415,96.3372683668031
co_2_misc-C-4-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_cs-C-0-0_cs-C-0-0_4,-3.322107071,-2782.750772877,-2782.896302427,-2779.574195356,95.6193600359766
co_2_water-O-0-0_water-O-0-0_water-O-0-0_water-O-0-0_water-O-0-0_imidazole-N-2-0_4,-2.704200061,-1988.905784888,-1988.991544311,-1986.28734425,96.82865834384768
co_2_pyridine-N-3-0_pyridine-N-3-0_water-O-0-0_water-O-0-0_pyridine-N-3-0_water-O-0-0_4,-4.380088721,-2353.83850463,-2354.020465731,-2349.64037701,95.84572111227614
co_2_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_fluoride-F-0-d1_fluoride-F-0-d1_4,-1.875416571,-3177.116408048,-3177.171772449,-3175.296355878,97.04788782097488
co_2_ammonia-N-0-0_ammonia-N-0-0_SH2-S-0-0_SH2-S-0-0_ammonia-N-0-0_SH2-S-0-0_4,-1.836285427,-2747.586724072,-2747.640496538,-2745.8042111110003,97.07167169059122
co_2_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_thiocyanate-S-0-d1_SH2-S-0-0_thiocyanate-S-0-d1_4,-2.448761236,-3958.447508282,-3958.548758937,-3956.099997701,95.865229589898
co_3_misc-C-4-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_thiocyanate-S-0-d1_thiocyanate-S-0-d1_5,-3.746652241,-2892.418857911,-2892.582712585,-2888.836060344,95.62663776992756
co_2_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_amine-N-0-d1_4,-5.941537177,-2676.560641167,-2676.834260749,-2670.892723572,95.39480148236882
co_2_cs-C-0-0_cs-C-0-0_phosphine-P-0-0_phosphine-P-0-0_cs-C-0-0_phosphine-P-0-0_4,-2.083329845,-3716.496948497,-3716.589706475,-3714.50637663,95.54760960092705
co_2_formaldehyde-O-1-0_formaldehyde-O-1-0_formaldehyde-O-1-0_formaldehyde-O-1-0_formaldehyde-O-1-0_amine-N-0-d1_4,-2.774703096,-2009.224839928,-2009.319818131,-2006.545115035,96.57699581850888
co_3_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_water-O-0-0_5,-2.617321305,-2022.620175054,-2022.727442952,-2020.110121647,95.90161522028949
co_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_4,-3.715741696,-2176.468098736,-2176.617798291,-2172.902056595,95.97120663254516
co_3_cs-C-0-0_cs-C-0-0_cs-C-0-0_cs-C-0-0_hydroxyl-O-0-d1_hydroxyl-O-0-d1_5,-2.36874216,-3275.838386103,-3275.957302164,-3273.588560004,94.97978028136563
co_3_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_cs-C-0-0_cs-C-0-0_5,-2.664373576,-2704.614036472,-2704.738388492,-2702.074014916,95.33278587055874
co_2_misc-C-4-0_misc-C-4-0_SH2-S-0-0_SH2-S-0-0_misc-C-4-0_SH2-S-0-0_4,-2.738320734,-2975.633180295,-2975.737211011,-2972.998890277,96.2009302011798
co_3_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_pyridine-N-3-0_pyridine-N-3-0_5,-4.020213411,-2328.959846027,-2329.136988768,-2325.116775357,95.59369807296252
co_2_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_acetonitrile-N-1-0_4,-5.638709201,-2643.065881736,-2643.313717877,-2637.675008676,95.604736258505
co_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_cs-C-0-0_ome2-O-0-0_cs-C-0-0_4,-3.690620255,-2871.828474196,-2871.963874699,-2868.273254444,96.3312263618432
co_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_imidazole-N-2-0_imidazole-N-2-0_4,-4.484816534,-2363.172715553,-2363.361052155,-2358.876235621,95.800572875792
co_2_cyanide-C-0-d1_cyanide-C-0-d1_cyanide-C-0-d1_cyanide-C-0-d1_ammonia-N-0-0_ammonia-N-0-0_4,-2.408445032,-1865.622610887,-1865.719423783,-1863.310978751,95.98027379850416
co_2_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_misc-C-4-0_4,-1.982713642,-3227.285952789,-3227.352687408,-3225.369973766,96.63417764490728
co_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_acetonitrile-N-1-0_4,-4.18515505,-2287.72985731,-2287.869151267,-2283.683996217,96.67171334549336
co_2_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_misc-C-4-0_misc-C-4-0_4,-3.066109545,-2098.919960621,-2099.04084846,-2095.974738915,96.05728897726682
co_2_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_thiocyanate-S-0-d1_phosphine-P-0-0_thiocyanate-S-0-d1_4,-2.372752115,-3733.486798936,-3733.583324607,-3731.210572492,95.93191086460388
co_2_misc-C-4-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_imidazole-N-2-0_4,-4.101895456,-2269.696777589,-2269.866876327,-2265.7649808710003,95.85316739967962
co_2_cs-C-0-0_cs-C-0-0_cs-C-0-0_cs-C-0-0_cs-C-0-0_furan-O-0-0_4,-3.104489778,-3789.426050184,-3789.582343477,-3786.477853699,94.96557231053308
co_2_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_water-O-0-0_water-O-0-0_water-O-0-0_4,-1.890157513,-2807.137218756,-2807.18969688,-2805.2995393670003,97.22361106736672
co_3_carbonyl-C-0-0_carbonyl-C-0-0_chloride-Cl-0-d1_chloride-Cl-0-d1_carbonyl-C-0-0_chloride-Cl-0-d1_5,-2.279318711,-3100.532126747,-3100.629891366,-3098.350572655,95.71079645299191
co_2_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_ome2-O-0-0_ome2-O-0-0_4,-5.910328198,-2682.158569324,-2682.413878494,-2676.503550296,95.68028777003578
co_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_imidazole-N-2-0_4,-4.100900799,-2269.873202373,-2270.041859253,-2265.940958454,95.88732114561031
co_3_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_hydroxyl-O-0-d1_hydroxyl-O-0-d1_5,-4.698072017,-2436.400592279,-2436.60492455,-2431.906852533,95.65072075821055
co_3_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_phosphine-P-0-0_phosphine-P-0-0_5,-4.546552626,-2969.530423354,-2969.732935187,-2965.186382561,95.54581570569076
co_2_furan-O-0-0_furan-O-0-0_furan-O-0-0_furan-O-0-0_chloride-Cl-0-d1_chloride-Cl-0-d1_4,-4.567022736,-3219.836233489,-3220.027686243,-3215.460663507,95.80793078845508
co_3_chloride-Cl-0-d1_chloride-Cl-0-d1_chloride-Cl-0-d1_chloride-Cl-0-d1_pyridine-N-3-0_pyridine-N-3-0_5,-3.446980993,-3716.540151302,-3716.693812807,-3713.246831814,95.5421423758393
co_2_furan-O-0-0_furan-O-0-0_furan-O-0-0_furan-O-0-0_furan-O-0-0_acetonitrile-N-1-0_4,-5.57844605,-2661.910174563,-2662.148917631,-2656.570471581,95.72025854762607
