Unnamed: 0,Tuned LS PBE,Tuned HS PBE,Tuned LS SCAN,Tuned HS SCAN
Co_ADETCO_comp_0_3111,39.56520080566406,45.52604675292969,37.35115051269531,42.37464904785156
Co_AFULAO_comp_0_411,37.32414245605469,40.68977355957031,31.631851196289062,36.523590087890625
Co_BOTQEH_comp_0_222,38.4906005859375,44.498138427734375,35.25032043457031,41.414031982421875
Co_CAASPC_comp_3_33,35.64247131347656,41.70417785644531,28.450698852539062,38.991851806640625
Co_CEWTUT_comp_0_42,38.74519348144531,42.18421936035156,35.58921813964844,38.96888732910156
Co_CULQIJ_comp_0_411,37.20954895019531,43.3441162109375,34.44099426269531,41.80976867675781
Co_DABUCO_comp_1_33,38.44200134277344,,,
Co_DATMCO_comp_1_111111,40.68199157714844,41.82525634765625,37.5860595703125,38.78608703613281
Co_DAYKOD_comp_1_2211,37.364349365234375,42.05360412597656,33.87992858886719,40.73234558105469
Co_DETCON_comp_0_33,32.49198913574219,48.11622619628906,30.972747802734375,46.223602294921875
Co_DOCZOK_comp_0_2211,38.6248779296875,40.883026123046875,30.594711303710938,40.702056884765625
Co_ENGCOA_comp_0_222,39.85679626464844,42.95204162597656,35.20133972167969,39.48219299316406
Co_GASCEI_comp_0_33,39.88365173339844,42.61161804199219,37.00675964355469,38.72474670410156
Co_ILASAR_comp_0_51,38.2275390625,50.90293884277344,32.93418884277344,49.026641845703125
Co_LOFFUH_comp_0_321,40.0,39.590606689453125,35.458984375,34.87052917480469
Co_LUJXAP_comp_0_321,38.3111572265625,40.5999755859375,34.72770690917969,40.69175720214844
Co_PODWAG_comp_0_222,39.337921142578125,40.85823059082031,33.285064697265625,36.367034912109375
Co_QOJFOK_comp_0_321,34.64805603027344,44.112701416015625,30.0,42.299041748046875
Co_SEVMUB_comp_0_42,43.43284606933594,41.326751708984375,,38.58879089355469
Co_VARVOA_comp_0_51,36.91650390625,37.74757385253906,35.0,36.89994812011719
Co_YICJAV_comp_0_411,37.04032897949219,36.59217834472656,33.45741271972656,40.0
Co_ZEZJAP_comp_0_222,45.0,50.412139892578125,34.69017028808594,51.718902587890625
Fe_ACAKOF_comp_0_111111,35.0,48.0364990234375,31.3330078125,45.97984313964844
Fe_AMAVOB_comp_0_111111,45.50140380859375,55.864105224609375,42.16400146484375,53.71604919433594
Fe_AQIYII_comp_0_21111,45.51139831542969,68.9593505859375,,69.51553344726562
Fe_AQIYOO_comp_1_3111,30.0,59.44129943847656,,59.098663330078125
Fe_BQIFEC10_comp_0_21111,40.0,64.18350219726562,28.425216674804688,60.73036193847656
Fe_CACDIW_comp_0_111111,38.560333251953125,48.84925842285156,35.82344055175781,45.39276123046875
Fe_CACDOC_comp_1_111111,38.56658935546875,48.8848876953125,36.009979248046875,45.312042236328125
Fe_CEHHON_comp_0_111111,34.2669677734375,63.54499816894531,31.18133544921875,47.43011474609375
Fe_DETTUR_comp_0_33,29.69818115234375,40.92964172363281,31.617355346679688,38.26560974121094
Fe_EMEBEF_comp_0_111111,48.383636474609375,61.65008544921875,52.929534912109375,61.3812255859375
Fe_EVOKOP_comp_1_111111,29.039459228515625,,23.015060424804688,31.50543212890625
Fe_EYEWOV_comp_0_33,32.47222900390625,44.810943603515625,28.609085083007812,41.68708801269531
Fe_GEQPOH_comp_0_33,27.3028564453125,37.82646179199219,26.046676635742188,
