,pbe_hfx_0,pbe_hfx_10,pbe_hfx_100,pbe_hfx_15,pbe_hfx_20,pbe_hfx_25,pbe_hfx_30,pbe_hfx_35,pbe_hfx_40,pbe_hfx_45,pbe_hfx_5,pbe_hfx_50,pbe_hfx_55,pbe_hfx_60,pbe_hfx_65,pbe_hfx_70,pbe_hfx_75,pbe_hfx_80,pbe_hfx_85,pbe_hfx_90,pbe_hfx_95,scan_hfx_0,scan_hfx_10,scan_hfx_100,scan_hfx_15,scan_hfx_20,scan_hfx_25,scan_hfx_30,scan_hfx_35,scan_hfx_40,scan_hfx_45,scan_hfx_5,scan_hfx_50,scan_hfx_55,scan_hfx_60,scan_hfx_65,scan_hfx_70,scan_hfx_75,scan_hfx_80,scan_hfx_85,scan_hfx_90,scan_hfx_95
co/2/co_2_ammonia-N-0-0_ammonia-N-0-0_SH2-S-0-0_SH2-S-0-0_ammonia-N-0-0_SH2-S-0-0_4_HS,-2749.320174883816,-2749.3695837062055,-2749.9809662120088,-2749.3962344560523,-2749.424060235072,-2749.4529626833664,-2749.482911311616,-2749.51378268423,-2749.545539514791,-2749.578128718808,-2749.3441977635725,-2749.611480618268,-2749.6455778287377,-2749.6803719764757,-2749.7158360812728,-2749.751943810107,-2749.7886718426416,-2749.825999530128,-2749.8639084934903,-2749.9023822666463,-2749.9414059993114,-2750.4661397386926,-2750.398291239335,-2749.8696271746844,-2750.3653117055437,-2750.332898441819,-2750.3010200074,-2750.2696471234003,-2750.238727226092,-2750.2082373355724,-2750.178164594327,-2750.4318851179355,-2750.148474513115,-2750.119154496225,-2750.0901858519146,-2750.061554432081,-2750.033247035747,-2750.0052519623464,-2749.977558703387,-2749.9501577854458,-2749.9230406399606,-2749.8961994737188
co/2/co_2_ammonia-N-0-0_ammonia-N-0-0_SH2-S-0-0_SH2-S-0-0_ammonia-N-0-0_SH2-S-0-0_4_LS,-2749.307803659001,-2749.3419569239513,-2749.894844562335,-2749.3632285373396,-2749.3862721646938,-2749.410314726078,-2749.435969594923,-2749.4626436615627,-2749.4905576214755,-2749.519455491385,-2749.3223485326703,-2749.5493828817757,-2749.5803551480003,-2749.612244669387,-2749.644999663236,-2749.6786043617026,-2749.712871967489,-2749.7480470009677,-2749.7836667249912,-2749.820243216432,-2749.857047436837,-2750.4429219320277,-2750.3660764099604,-2749.7778486164043,-2750.328797775476,-2750.2919244461586,-2750.2560353566478,-2750.220668195595,-2750.185899143135,-2750.1516415419555,-2750.1180869233503,-2750.403860804873,-2750.0849481311716,-2750.0523624668344,-2750.02025545041,-2749.988598913575,-2749.957370758681,-2749.926574616983,-2749.8962135550332,-2749.8659525627654,-2749.836226840563,-2749.806852931321
co/2/co_2_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_4_HS,-2061.3775541195846,-2061.3634599206025,-2061.4625990944064,-2061.359021447934,-2061.356136436529,-2061.3547587147114,-2061.35471010746,-2061.3559088132806,-2061.358283456541,-2061.361772897132,-2061.3695841223384,-2061.366324601841,-2061.3718932981224,-2061.3784397861573,-2061.385929922556,-2061.394333767538,-2061.403574638717,-2061.41374324153,-2061.4247406667555,-2061.4365595921236,-2061.4491842573484,-2062.222901371382,-2062.1313708999783,-2061.4237595383015,-2062.0869308120596,-2062.0432590047903,-2062.000422802234,-2061.9582483846725,-2061.916714682624,-2061.8757888546447,-2061.8353830959777,-2062.176667569941,-2061.7956058874934,-2061.756339044903,-2061.7175725054835,-2061.679292565518,-2061.641483236596,-2061.6041296113026,-2061.567218090099,-2061.5307362516314,-2061.494672721634,-2061.459017037809
co/2/co_2_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_4_LS,,-2061.348732935791,-2061.3864085524606,-2061.3385967809945,-2061.330433259307,-2061.3237704862927,-2061.318885479822,-2061.315754611599,-2061.3141559381093,-2061.3140226052883,-2061.361212794025,-2061.315355801571,-2061.317838623771,-2061.3208993457774,-2061.325597196457,-2061.331393696898,-2061.33826686207,-2061.3459239845524,-2061.3546447157023,-2061.36435127256,-2061.3749375925486,-2062.2141855710493,-2062.112072177638,-2061.342147834607,-2062.0623916685627,-2062.013806585912,-2061.9666902194294,-2061.920426584836,-2061.875014478243,-2061.8304585920864,-2061.7864752601913,-2062.1625631005345,-2061.7429616800364,-2061.700329452599,-2061.6583765175496,-2061.617014430553,-2061.576221547927,-2061.5359782825963,-2061.4962823618866,-2061.4571159393163,-2061.4182479924807,-2061.3799666162868
co/2/co_2_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_misc-C-4-0_misc-C-4-0_4_HS,-2100.2259281723223,-2100.2201691213813,-2100.4192794852183,-2100.220208601358,-2100.221964108365,-2100.2253636877854,-2100.230230409708,-2100.236477161318,-2100.2440293139157,-2100.2528220604772,-2100.2220039464773,-2100.262799056315,-2100.273911215758,-2100.2860437815707,-2100.299332938295,-2100.3136199293904,-2100.3288948752283,-2100.3451329167488,-2100.3623111720826,-2100.3804078918233,-2100.3994033945337,-2101.130433261606,-2101.0384768640615,-2100.340563805311,-2100.993995566345,-2100.950390603026,-2100.9076543034744,-2100.8656720963327,-2100.824340633856,-2100.7837849299076,-2100.743851421998,-2101.0839239794454,-2100.7045305484767,-2100.6657939821434,-2100.6276271901224,-2100.5900029504737,-2100.552909124013,-2100.5163232478076,-2100.4802345270473,-2100.4446253927367,-2100.409485694555,-2100.374801684703
co/2/co_2_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_misc-C-4-0_misc-C-4-0_4_LS,-2100.2417044036692,-2100.223530607973,-2100.356623723386,-2100.2177052806333,-2100.213891096304,-2100.211980840811,-2100.211904788482,-2100.213581592307,-2100.216998842299,-2100.2217674376184,-2100.2314864562913,-2100.2275055608034,-2100.235063643476,-2100.24386923515,-2100.254076129993,-2100.2653743983174,-2100.277915607958,-2100.291539093111,-2100.3062457479496,-2100.32200649038,-2100.3387977095285,-2101.1390517051586,-2101.036679627332,-2100.272458466053,-2100.9871786593462,-2100.938759089575,-2100.891492022361,-2100.8451234306503,-2100.7993667972864,-2100.7546507554753,-2100.710823379181,-2101.08727005168,-2100.667750947358,-2100.625411491811,-2100.583755211289,-2100.542811812071,-2100.502519822976,-2100.4628897795315,-2100.4235420159366,-2100.384960933468,-2100.346938673071,-2100.3094428439276
co/2/co_2_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_4_HS,-2119.628299146501,-2119.6270069082407,-2119.87250186163,-2119.629247772647,-2119.633236893791,-2119.6388443843744,-2119.6459808824793,-2119.6545555100115,-2119.6644928582405,-2119.675727536179,-2119.6266287753315,-2119.688203267348,-2119.7017906649303,-2119.716631740733,-2119.732553502584,-2119.7495688538816,-2119.767574852314,-2119.7866672858054,-2119.80678990864,-2119.8278057619227,-2119.8497166066363,-2120.564069889261,-2120.471342743103,-2119.7736452240288,-2120.426606184453,-2120.382794522301,-2120.3399785349834,-2120.29788629815,-2120.256795925273,-2120.216376918384,-2120.176643695732,-2120.5171394995537,-2120.1375483920756,-2120.0990198544546,-2120.059467316714,-2120.0219322316248,-2119.984944697503,-2119.9484812924616,-2119.912534755417,-2119.8770885951217,-2119.842133191129,-2119.807654913688
co/2/co_2_carbonyl-C-0-0_carbonyl-C-0-0_carbonyl-C-0-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_4_LS,-2119.651260110856,-2119.637444247154,-2119.8208533009183,-2119.6339183469067,-2119.632482498025,-2119.6330364764603,-2119.6355244739057,-2119.6399086970414,-2119.6453373156774,-2119.65276951177,-2119.6431836959196,-2119.661613733286,-2119.6720967824044,-2119.68379935134,-2119.69696695157,-2119.7113995476175,-2119.7270305777192,-2119.743730381347,-2119.7614685628073,-2119.78031223707,-2119.80012265621,-2120.577271165684,-2120.4751004415807,-2119.716901194734,-2120.4255929022966,-2120.377243350505,-2120.3301011429144,-2120.2836719725947,-2120.2383473231102,-2120.1939851701813,-2120.1504248013152,-2120.5256388287185,-2120.107658528375,-2120.065658743966,-2120.024394315824,-2119.9838129907503,-2119.9438976805804,-2119.9046184264594,-2119.865971378664,-2119.827927150786,-2119.790486298897,-2119.7533455466164
co/2/co_2_carboxyl-O-1-d1_carboxyl-O-1-d1_carboxyl-O-1-d1_carboxyl-O-1-d1_ammonia-N-0-0_ammonia-N-0-0_4_HS,-2251.711094332025,-2251.6950745828585,-2251.8785787056377,-2251.6913722406466,-2251.690011974553,-2251.690713557936,-2251.6932945635062,-2251.6975305972,-2251.7035163801106,-2251.711003175243,-2251.7014778760818,-2251.7199695544778,-2251.7302644119864,-2251.7419616826573,-2251.7549165994465,-2251.769115631711,-2251.7845217164004,-2251.8011012272964,-2251.818823643656,-2251.8376609760558,-2251.857587353182,-2252.7176694809536,-2252.6079388766784,-2251.789007368438,-2252.555544174023,-2252.504237850659,-2252.4538997718273,-2252.404550945351,-2252.356055287197,-2252.3083765662223,-2252.2614652508114,-2252.6615900134825,-2252.2153004722,-2252.1698394377986,-2252.1250637856865,-2252.080943961852,-2252.037463560472,-2251.9946003076047,-2251.9523394002103,-2251.9106632641633,-2251.8695584595603,-2251.8290105652904
co/2/co_2_carboxyl-O-1-d1_carboxyl-O-1-d1_carboxyl-O-1-d1_carboxyl-O-1-d1_ammonia-N-0-0_ammonia-N-0-0_4_LS,-2251.6952448935604,-2251.6716145934247,-2251.817828859789,-2251.6641141200394,-2251.659355295975,-2251.6570081090917,-2251.656840948521,-2251.658661986468,-2251.6622200539964,-2251.667651953402,-2251.6820625931073,-2251.6746090901365,-2251.6830762818768,-2251.692969489122,-2251.7042448099123,-2251.716842564833,-2251.7307138978995,-2251.7458161766976,-2251.7621114415783,-2251.779565538046,-2251.7981474681305,-2252.697250338957,-2252.578972572169,-2251.7016483774273,-2252.5222959056446,-2252.4658104101063,-2252.411461477919,-2252.3583780878384,-2252.306471452359,-2252.2553741638358,-2252.205084176707,-2252.637294236388,-2252.155538668575,-2252.1068395434672,-2252.0590251286085,-2252.011984559584,-2251.965653773429,-2251.9200403732166,-2251.8751140997706,-2251.8309134202077,-2251.7872613078853,-2251.744157426805
