,pbe_hfx_0,pbe_hfx_10,pbe_hfx_100,pbe_hfx_15,pbe_hfx_20,pbe_hfx_25,pbe_hfx_30,pbe_hfx_35,pbe_hfx_40,pbe_hfx_45,pbe_hfx_5,pbe_hfx_50,pbe_hfx_55,pbe_hfx_60,pbe_hfx_65,pbe_hfx_70,pbe_hfx_75,pbe_hfx_80,pbe_hfx_85,pbe_hfx_90,pbe_hfx_95,scan_hfx_0,scan_hfx_10,scan_hfx_100,scan_hfx_15,scan_hfx_20,scan_hfx_25,scan_hfx_30,scan_hfx_35,scan_hfx_40,scan_hfx_45,scan_hfx_5,scan_hfx_50,scan_hfx_55,scan_hfx_60,scan_hfx_65,scan_hfx_70,scan_hfx_75,scan_hfx_80,scan_hfx_85,scan_hfx_90,scan_hfx_95
co/2/co_2_misc-C-4-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_cs-C-0-0_cs-C-0-0_4_LS,,-2784.6900530062626,-2785.142478774829,-2784.6996086220915,-2784.711635482358,-2784.7260807182233,-2784.7427401915643,-2784.7615454879965,-2784.781745927337,-2784.8039056458874,-2784.683112622594,-2784.8279569568676,-2784.8534900306045,-2784.8804361864923,-2784.908900409127,-2784.938703554894,-2784.969833894082,-2785.002197164897,-2785.035677462506,-2785.070152371322,-2785.105683139968,-2785.930838057067,-2785.819756034775,-2785.0072074226673,-2785.7663742963405,-2785.714537262041,-2785.6639392668,-2785.6145878425973,-2785.565427925487,-2785.5178205455436,-2785.471218794603,-2785.8745166814956,-2785.4254341488604,-2785.3805196446274,-2785.336320498366,-2785.292952882771,-2785.2502766639764,-2785.2083154113216,-2785.1667488915004,-2785.125968702322,-2785.0858107867334,-2785.0462165354757
co/2/co_2_misc-C-4-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_amine-N-0-d1_4_HS,-2101.403636630932,-2101.406247023173,-2101.7452477981124,-2101.4108151436326,-2101.417473242176,-2101.426129563876,-2101.4367452408133,-2101.449284423619,-2101.463480827632,-2101.479701909102,-2101.4038262398026,-2101.4973601564843,-2101.516520326104,-2101.5370957007162,-2101.558997898969,-2101.58217875117,-2101.606576053243,-2101.632138145372,-2101.658821836613,-2101.686589524141,-2101.7154080360333,-2102.357169121644,-2102.263301768161,-2101.6026398281456,-2102.218325804612,-2102.17466402259,-2102.132120965524,-2102.0910685313493,-2102.0508962089716,-2102.0119099497642,-2101.973843600687,-2102.309591669863,-2101.9366316270994,-2101.9002421422215,-2101.8646206818594,-2101.8297129969123,-2101.795469971513,-2101.7618876813954,-2101.728902963013,-2101.696510582538,-2101.6646828690377,-2101.6333982357623
co/2/co_2_misc-C-4-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_amine-N-0-d1_4_LS,-2101.3900543877685,,-2101.656720016631,-2101.386020535644,,-2101.4013505618423,-2101.372618098274,-2101.4200230903184,-2101.3957986898367,-2101.409874085163,,-2101.455194556269,-2101.3634582724417,,-2101.5093101136954,,-2101.461964472548,,,,-2101.6283934781086,-2102.3462247755197,-2102.249665381533,-2101.508325833199,-2102.1937512594873,,-2102.1140261721316,-2102.0594660478373,-2101.9848550923207,-2101.974863822624,,-2102.2973256326263,-2101.8938805879325,-2101.870164464143,-2101.8161468162757,-2101.670424865751,,,,,-2101.5745483040573,-2101.5411068002904
co/2/co_2_misc-C-4-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_imidazole-N-2-0_4_HS,,,-2271.7068272622982,-2271.2980691935163,,-2271.3216968759334,-2271.33239556893,-2271.3500106355773,-2271.3787247330065,-2271.399798161408,-2271.2793789399243,-2271.422244434005,,-2271.4715951784997,,,,-2271.5744305121216,-2271.605879445038,-2271.6383708933727,-2271.672041895057,-2272.3672856648254,-2272.2659340849405,-2271.5341886144342,-2272.222923274338,-2272.172616401795,-2272.131917917074,-2272.079731536015,-2272.041144112192,-2271.9933913468376,-2271.9548351142757,,-2271.919535470035,-2271.8731910419438,,,,,-2271.6773735145407,-2271.6407580991677,-2271.604644461174,-2271.569154723465
co/2/co_2_misc-C-4-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_imidazole-N-2-0_4_LS,,-2271.2780840568394,-2271.64844476957,-2271.283135788251,-2271.290316959488,-2271.299852489802,-2271.311066264871,-2271.324557664279,-2271.3400516989673,-2271.357511414514,-2271.2758562900176,-2271.376534193018,-2271.397349256987,-2271.419797597938,-2271.44363493343,-2271.4689994504324,-2271.495588351936,-2271.523649944574,-2271.552776058133,-2271.583543627519,-2271.6152450590384,-2272.362862979996,-2272.255168894932,-2271.4698593509843,-2272.2033798026987,-2272.1528911497503,-2272.103529031624,-2272.05532919726,-2272.0081199584447,-2271.9619029319374,-2271.9165676090743,-2272.3083166252236,-2271.872395813728,-2271.8288758419158,-2271.7858949829197,-2271.7439365004907,-2271.702741968346,-2271.662266584666,-2271.622523446271,-2271.5834803656026,-2271.5451897079674,-2271.5070754238855
co/2/co_2_misc-C-4-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_SH2-S-0-0_4_HS,-2444.4320241497635,-2444.4550549504975,-2444.9355436927335,-2444.469590994167,-2444.4859875250927,-2444.504160172925,-2444.523983256263,-2444.5453664947104,-2444.5681378970507,-2444.5924824493322,-2444.442545142156,-2444.618154557702,-2444.6451242489397,-2444.672475061551,-2444.7015483529867,-2444.7318330750572,-2444.7632048896853,-2444.7956447055167,-2444.829120398272,-2444.8636119594016,-2444.8990924060868,-2445.5551457041943,-2445.4635830120565,-2444.784109035599,-2445.419439108194,-2445.3762961956827,-2445.334111462271,-2445.292731718958,-2445.252236159641,-2445.2124680748116,-2445.1733669303917,-2445.508794032527,-2445.1350559813222,-2445.0973560010248,-2445.0602802972785,-2445.02380394068,-2444.9879259328873,-2444.9526065887867,-2444.917841539599,-2444.883610390789,-2444.8499214029407,-2444.8167556287
co/2/co_2_misc-C-4-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_SH2-S-0-0_4_LS,-2444.4488700271013,-2444.4599130084084,-2444.881487712135,-2444.468999187453,-2444.4802717308794,-2444.4936396996522,-2444.5088654432507,-2444.526269699971,-2444.5454623967053,-2444.5655386594744,-2444.453136075906,-2444.587794678574,-2444.6116382906903,-2444.636621285653,-2444.663199278886,-2444.6903164165965,-2444.719278711916,-2444.749455183411,-2444.7808004454623,-2444.81327652189,-2444.846849252893,-2445.5609015528144,-2445.460846988653,-2444.723930832941,-2445.41222822496,-2445.3649936769157,-2445.319041732698,-2445.2740007013163,-2445.230030903474,-2445.1862328370694,-2445.143810250339,-2445.5100383516756,-2445.102228414546,-2445.0614031017103,-2445.021321149639,-2444.98194864882,-2444.9432609401933,-2444.905225095959,-2444.867833248768,-2444.8310655524697,-2444.794918067152,-2444.759428056519
co/2/co_2_misc-C-4-0_misc-C-4-0_SH2-S-0-0_SH2-S-0-0_misc-C-4-0_SH2-S-0-0_4_HS,-2977.6337879727885,-2977.6790318177373,-2978.330636679661,-2977.704399010815,-2977.7319071395636,-2977.760658038373,-2977.7913012182257,-2977.8229899575313,-2977.8557967336556,-2977.8896750272265,-2977.655499389953,-2977.9246547828197,-2977.9608108864195,-2977.9983839823235,-2978.0369335553232,-2978.076033470231,-2978.1165900392484,-2978.1578331027704,-2978.199564534891,-2978.2426778784256,-2978.2860037851215,-2978.95728663405,-2978.8679344771735,-2978.191451298526,-2978.82481689871,-2978.7825309262325,-2978.741076572961,-2978.700439061271,-2978.6605321309794,-2978.6214319131104,-2978.5830369469336,-2978.9121174786505,-2978.5451873102465,-2978.506815813923,-2978.469716920184,-2978.433289182778,-2978.3973603261447,-2978.3619162779405,-2978.3269387806426,-2978.2924172556586,-2978.2583351620597,-2978.224683736436
co/2/co_2_misc-C-4-0_misc-C-4-0_SH2-S-0-0_SH2-S-0-0_misc-C-4-0_SH2-S-0-0_4_LS,,-2977.66760317442,-2978.261946406597,-2977.687499854088,-2977.7094263695594,-2977.733315485393,-2977.7590793352792,-2977.7863282056824,-2977.8153775186493,-2977.8457989730296,-2977.649703999581,-2977.877779533402,-2977.911196059843,-2977.945915475957,-2977.9816548940207,-2978.018678483417,-2978.0564937298695,-2978.0956346016164,-2978.135804633923,-2978.1769715375153,-2978.2191159163835,-2978.948923772472,-2978.8503510591595,-2978.117161650591,-2978.8022522965216,-2978.7556683201583,-2978.7102599402997,-2978.6658684901145,-2978.62235365546,-2978.579171064575,-2978.5371229990724,-2978.8990309609835,-2978.4958761369226,-2978.4553521538924,-2978.4153725954025,-2978.3761099511544,-2978.33746790825,-2978.2994285229356,-2978.2619920135494,-2978.2251718732446,-2978.1886701371322,-2978.1526833825496
co/2/co_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_cs-C-0-0_ome2-O-0-0_cs-C-0-0_4_HS,-2873.7326463101545,-2873.775300944516,-2874.456014408322,-2873.8003942262358,-2873.8275472031055,-2873.8565711550154,-2873.8872939416883,-2873.9195966620086,-2873.9533063245362,-2873.9885374661335,-2873.752568396489,-2874.0251330268784,-2874.062940283554,-2874.102060984597,-2874.142354933558,-2874.1838610609457,-2874.2264890219294,-2874.270255578138,-2874.315103663873,-2874.361031813384,-2874.408005659302,-2875.119158405362,-2875.018874933361,-2874.259612389581,-2874.9704355035874,-2874.922967916301,-2874.876437756141,-2874.8306956689853,-2874.785772071194,-2874.741618443437,-2874.6981155304093,-2875.0684007738087,-2874.6553107218624,-2874.6131154930194,-2874.5715974929826,-2874.530646850689,-2874.4902969200525,-2874.4505013704133,-2874.4112705422476,-2874.3725718602595,-2874.334406878203,-2874.2967548377524
co/2/co_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_cs-C-0-0_ome2-O-0-0_cs-C-0-0_4_LS,-2873.718825008752,-2873.7498806278795,-2874.374836497937,-2873.7697333436154,-2873.7921591189347,-2873.816196961925,-2873.842741902742,-2873.87118423114,-2873.9013138583214,-2873.933239131083,-2873.732905843078,-2873.9667887521746,-2874.0018779468896,-2874.0383313326147,-2874.0760801978895,-2874.1151146282264,-2874.155388109977,-2874.1968217730346,-2874.2395875523375,-2874.2835396094642,-2874.3286239010067,-2875.0998916660797,-2874.989242636448,-2874.172454117239,-2874.9362736265603,-2874.8846245183295,-2874.8340430632325,-2874.7847268708524,-2874.7360357664033,-2874.6883618333222,-2874.6415256579726,-2875.0436753301724,-2874.595522689219,-2874.5502158122963,-2874.505751850315,-2874.4619274719603,-2874.4188000826593,-2874.3763600625502,-2874.334641560362,-2874.292967963141,-2874.2522330240845,-2874.2120684793267
co/2/co_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_cyanide-C-0-d1_cyanide-C-0-d1_4_HS,-2187.701823422859,-2187.723424349869,-2188.1794433759273,-2187.737006647548,-2187.752350638854,-2187.7693383412316,-2187.7879260344525,-2187.8080740544697,-2187.829608800824,-2187.8525470561062,-2187.7118290211556,-2187.8767410112873,-2187.902147006018,-2187.9287563455914,-2187.9565488538783,-2187.9853478801006,-2188.0152506034497,-2188.0460678618592,-2188.0772243979545,-2188.1102753784535,-2188.1443613339875,-2188.7652614541885,-2188.6750220947874,-2187.9980020092707,-2188.6313832425544,-2188.588722820591,-2188.546892744823,-2188.505830832948,-2188.4655438643385,-2188.4259664514816,-2188.3870795439057,-2188.7196090400907,-2188.348853718036,-2188.3112568734805,-2188.2742847618165,-2188.237908023387,-2188.2021375748764,-2188.1669538516226,-2188.132350428967,-2188.0976047132476,-2188.0638795606637,-2188.030691504946
co/2/co_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_cyanide-C-0-d1_cyanide-C-0-d1_4_LS,-2187.7025723117913,-2187.714679585321,-2188.1201344426836,-2187.7239142502167,-2187.7348320149586,-2187.7476405947436,-2187.7623499166,-2187.778882270662,-2187.796893170692,-2187.8165477635785,-2187.7074561749932,-2187.8377171337547,-2187.860367711588,-2187.88451207751,-2187.9096906512,-2187.936219693146,-2187.9639393116604,-2187.9927957887385,-2188.022950329098,-2188.054251145514,-2188.0866517988093,-2188.760143223416,-2188.6620265593792,-2187.932838493992,-2188.6145458024603,-2188.5680506609874,-2188.522607746888,-2188.4781979404015,-2188.434688228774,-2188.3918441507794,-2188.3497973247404,-2188.710658857125,-2188.308817333656,-2188.267869346867,-2188.2280727846296,-2188.1889662154135,-2188.150524845527,-2188.1127274968294,-2188.075579418246,-2188.0390678457766,-2188.00321676969,-2187.9677473025904
co/2/co_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_hydroxyl-O-0-d1_hydroxyl-O-0-d1_4_HS,-2153.742491781055,-2153.7622860780384,-2154.205838663622,-2153.775079352167,-2153.789656129804,-2153.805908979968,-2153.8236617156977,-2153.8430388134743,-2153.8638131826406,-2153.8859347646703,-2153.7513897250756,-2153.909349227632,-2153.9340088981526,-2153.9598660804745,-2153.9868824909177,-2154.0150212212675,-2154.0442510755533,-2154.0745428072237,-2154.1058704637826,-2154.138210024114,-2154.1715395438077,-2154.769360779784,-2154.68141086819,-2154.023481664316,-2154.638922155935,-2154.5973202931596,-2154.556562552701,-2154.51661831,-2154.477417246245,-2154.438925404161,-2154.4011167341027,-2154.72486584038,-2154.363958159026,-2154.3274234574205,-2154.291488616372,-2154.2561332881105,-2154.221337880795,-2154.1870860743925,-2154.1533618599346,-2154.1201517737222,-2154.087442612556,-2154.0552229254827
co/2/co_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_hydroxyl-O-0-d1_hydroxyl-O-0-d1_4_LS,-2153.713200334686,-2153.7275690942165,-2154.130371908986,-2153.7375456161026,-2153.749324935072,-2153.762619139821,-2153.777722791972,-2153.7943145321774,-2153.8127581429526,-2153.83237568666,-2153.7194122579413,-2153.853251743371,-2153.8755360844666,-2153.899038839538,-2153.9240892276284,-2153.950158479265,-2153.9772776163927,-2154.0057385029604,-2154.035304236383,-2154.0659483559502,-2154.0976450753383,-2154.7411833438455,-2154.647461163396,-2153.9295995941993,-2154.5900174243525,-2154.5451074936054,-2154.4983241458817,-2154.45571841808,-2154.413788193463,-2154.3726846988147,-2154.332330828457,-2154.6938338776545,-2154.292688434381,-2154.253745868396,-2154.2155705475484,-2154.1775400968304,-2154.140428076216,-2154.1039093003888,-2154.067964561131,-2154.0325757229134,-2153.9977274534745,-2153.963407217178
co/2/co_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_acetonitrile-N-1-0_4_HS,-2289.19206935606,-2289.2257139692115,-2289.8144951859904,-2289.245591823019,-2289.267455638054,-2289.291198215801,-2289.316572269447,-2289.3436934563656,-2289.3723450124444,-2289.402404855843,-2289.208178111546,-2289.433786116046,-2289.4657721877506,-2289.4996893205553,-2289.5349046915644,-2289.5713438667945,-2289.608992649879,-2289.647819008493,-2289.6878051646245,-2289.728925229796,-2289.771162118027,-2290.364983885177,-2290.272094311368,-2289.5746524235115,-2290.2271518456046,-2290.1832042579113,-2290.140080530485,-2290.0977896602335,-2290.0562452811337,-2290.0154637003757,-2289.9753711169933,-2290.317995744458,-2289.935976790577,-2289.8972329670464,-2289.859140512718,-2289.8216953393035,-2289.7848916131693,-2289.748086452786,-2289.7122935324082,-2289.6770709263183,-2289.6423962293593,-2289.6082599474585
co/2/co_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_acetonitrile-N-1-0_4_LS,-2289.1590806647055,-2289.1860780987536,-2289.736545912367,-2289.203208335788,-2289.2217158976523,-2289.2426009526125,-2289.2650338914455,-2289.2891478819565,-2289.3153583643334,-2289.3428005834985,-2289.1713968010476,-2289.371742763108,-2289.4024366169256,-2289.434360911077,-2289.4676185966173,-2289.5023106287913,-2289.5383129002284,-2289.575576361918,-2289.614094121125,-2289.6538403718228,-2289.6945507981673,-2290.3309424567524,-2290.231780144143,-2289.4905849715133,-2290.1838198345117,-2290.136838505964,-2290.0906704522854,-2290.0454756469007,-2290.001167829143,-2289.957729099306,-2289.915134083366,-2290.280798627515,-2289.8733929936143,-2289.8320427949466,-2289.7914432077637,-2289.751648522432,-2289.712520513302,-2289.6740420226092,-2289.6362040961562,-2289.5990547871897,-2289.562309464818,-2289.5263207712887
co/2/co_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_amine-N-0-d1_4_HS,-2212.7747991672572,-2212.802824526768,-2213.341345523143,-2212.819661130869,-2212.838347842946,-2212.8588302542967,-2212.880977759859,-2212.9049821288045,-2212.930540172372,-2212.9576358055215,-2212.787858207687,-2212.986212270093,-2213.0161967879844,-2213.047526120183,-2213.0801464467413,-2213.114011162019,-2213.1490795225436,-2213.1853157616742,-2213.222688225812,-2213.261168643011,-2213.3007315287114,-2213.876557368489,-2213.785373242127,-2213.1171531898667,-2213.7414087571206,-2213.69847221884,-2213.656474135967,-2213.6154886346953,-2213.575355858435,-2213.536057857911,-2213.497555689806,-2213.8304202513036,-2213.459803348429,-2213.4227641118296,-2213.3863925756523,-2213.3506893974504,-2213.3155969537615,-2213.2811099122964,-2213.2472125662084,-2213.213882031764,-2213.181105516466,-2213.14886643331
co/2/co_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_amine-N-0-d1_4_LS,-2212.7485494518505,-2212.773057514124,-2213.2851917299504,-2212.788240784061,-2212.805292993412,-2212.824243289993,-2212.8449430460714,-2212.867238873918,-2212.8912977758746,-2212.916786549639,-2212.759801357322,-2212.9438273021715,-2212.9722717214504,-2213.002092061178,-2213.0332400697293,-2213.065671676593,-2213.0993467264357,-2213.134228623195,-2213.1702839809864,-2213.207482318614,-2213.245795735785,-2213.859094946899,-2213.765113970491,-2213.063533810537,-2213.7195818121845,-2213.6749609678022,-2213.6313074972904,-2213.5884528647257,-2213.546481801476,-2213.5052846129356,-2213.464844631363,-2213.811603761172,-2213.4251401436795,-2213.3861433285165,-2213.347832277155,-2213.310181198043,-2213.2731712504506,-2213.2367803697125,-2213.2009914900295,-2213.1657878162982,-2213.1311524400203,-2213.0970728662846
co/2/co_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_pyridine-N-3-0_pyridine-N-3-0_4_HS,-2497.8125894497425,-2497.850873039369,-2498.5261767156626,-2497.8737599010383,-2497.8987351519886,-2497.925703138125,-2497.954692894445,-2497.9854719764016,-2498.0180448303904,-2498.0523403017514,-2497.8303924038364,-2498.0881434164844,-2498.1253449527353,-2498.1643582783054,-2498.204597838554,-2498.246582357931,-2498.289590795237,-2498.334343643091,-2498.3800662828826,-2498.4274385623157,-2498.4761520575375,-2499.15730655513,-2499.0513921741167,-2498.256015132269,-2499.0002107281753,-2498.950072153635,-2498.9008720546335,-2498.852582614235,-2498.8051591999824,-2498.758584380588,-2498.7128055888684,-2499.103740718898,-2498.6678059022506,-2498.6235639405695,-2498.5800621679327,-2498.5372863879816,-2498.4952464510447,-2498.453928884343,-2498.4127356608583,-2498.372601460167,-2498.333112834148,-2498.294254049342
co/2/co_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_pyridine-N-3-0_pyridine-N-3-0_4_LS,-2497.801477959961,-2497.831431732664,-2498.4585405594325,-2497.849942067121,-2497.870871153645,-2497.8939388552385,-2497.919201339402,-2497.94647149395,-2497.97599321442,-2498.007138226743,-2497.8151263173895,-2498.040069015247,-2498.0747186003987,-2498.111059661851,-2498.149175051111,-2498.188903822592,-2498.2302078256707,-2498.273063164311,-2498.317191284159,-2498.3628982519313,-2498.410023399844,-2499.1439359478372,-2499.0300877623295,-2498.1822965759384,-2498.9749156549587,-2498.920906456911,-2498.8680078390503,-2498.816125055881,-2498.7653330738344,-2498.7155334105137,-2498.666549044658,-2499.0865861187044,-2498.6185367714984,-2498.5714051523573,-2498.5251172528388,-2498.479654751209,-2498.4350074790063,-2498.3911942344353,-2498.348029092588,-2498.3055759906424,-2498.263804713939,-2498.2227251868853
co/2/co_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_water-O-0-0_ome2-O-0-0_water-O-0-0_4_HS,-2154.4157101501323,-2154.4436658646737,-2154.9390808067974,-2154.460448628566,-2154.4788659206693,-2154.498776910599,-2154.520188476232,-2154.542909564067,-2154.5668840653757,-2154.5920667569817,-2154.42868209767,-2154.6184130875663,-2154.645883267454,-2154.674443259348,-2154.7040625700984,-2154.7347143334123,-2154.766374185603,-2154.7990200773042,-2154.832631743387,-2154.867190487728,-2154.902678930697,-2155.4581353457907,-2155.3751634324003,-2154.7443450198057,-2155.334985472518,-2155.2955686641653,-2155.256879939178,-2155.218869971051,-2155.1814907798207,-2155.144717709385,-2155.1085288218633,-2155.416202657841,-2155.072902748895,-2155.037820461773,-2155.003266454184,-2154.969225528838,-2154.935685038054,-2154.902632812963,-2154.870058138131,-2154.837950939174,-2154.806301999652,-2154.7751027032473
co/2/co_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_water-O-0-0_ome2-O-0-0_water-O-0-0_4_LS,-2154.387299618553,-2154.3963469471787,-2154.8477709021154,-2154.408629912581,-2154.4236528383394,-2154.440269369689,-2154.4586934913923,-2154.478496437077,-2154.4999282024655,-2154.5224129510807,-2154.3848969630058,-2154.546217252814,-2154.571436909956,-2154.5976720235067,-2154.625187423738,-2154.6538339850695,-2154.683566719409,-2154.714357615364,-2154.746180887241,-2154.779028460911,-2154.812879299888,-2155.4180226994504,-2155.3263484023378,-2154.646810672743,-2155.282839318798,-2155.240114215901,-2155.1981505058766,-2155.1570804665525,-2155.116762277733,-2155.0771684801334,-2155.0382764218007,-2155.3711054796768,-2154.999792942235,-2154.9620641830725,-2154.9249376005832,-2154.888430854796,-2154.8525209640325,-2154.8168267184355,-2154.7819215440063,-2154.7473419733674,-2154.713388700205,-2154.6799711059484
co/2/co_2_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_cyanide-C-0-d1_cyanide-C-0-d1_4_HS,-2940.0867390731205,-2940.1328513442068,-2940.774868120923,-2940.158716500188,-2940.1861958567556,-2940.2151460506793,-2940.2454871082,-2940.277044952886,-2940.309787367556,-2940.343592693021,-2940.108773679246,-2940.3784868628663,-2940.414324396109,-2940.451130851992,-2940.488816397055,-2940.5273421432958,-2940.56670715448,-2940.606846821644,-2940.6477667486197,-2940.6894148861766,-2940.731796579583,-2941.3638644698285,-2941.282114447863,-2940.668004592402,-2941.2427336012042,-2941.2042356109823,-2941.1665244999203,-2941.129583234683,-2941.093268601116,-2941.0576006258752,-2941.02249023246,-2941.3224530395278,-2940.9879825638995,-2940.9539904910453,-2940.92047871029,-2940.88745847605,-2940.8548797807616,-2940.822738950403,-2940.7910121221257,-2940.7596894226813,-2940.7287544118844,-2940.698196625037
co/2/co_2_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_cyanide-C-0-d1_cyanide-C-0-d1_4_LS,-2940.109840280048,-2940.1455675694533,-2940.7197362214392,-2940.16614220479,-2940.188393074503,-2940.2121954639915,-2940.237591576943,-2940.2643620143213,-2940.2926061290846,-2940.322129992717,-2940.126774132043,-2940.3529414758277,-2940.3849519930736,-2940.418120370064,-2940.4523980874797,-2940.487732789172,-2940.5240766273196,-2940.5613907317106,-2940.599638794938,-2940.6387910237127,-2940.67882374129,-2941.380043594812,-2941.2892920018867,-2940.6073253717564,-2941.245355719427,-2941.202307705388,-2941.1601060743687,-2941.118741301256,-2941.0781358307504,-2941.0382823835484,-2940.9991392596266,-2941.3341665923003,-2940.960686388309,-2940.9229220914585,-2940.885806983141,-2940.8494135254064,-2940.8129404678016,-2940.777430840467,-2940.7424470799115,-2940.7079605287267,-2940.6739675560316,-2940.64042273809
co/2/co_2_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_formaldehyde-O-1-0_formaldehyde-O-1-0_4_HS,-2982.868316906019,-2982.9200790254936,-2983.6162453747847,-2982.948755394327,-2982.9790589761496,-2983.0108617479655,-2983.044044511418,-2983.0784554634533,-2983.1141535404145,-2983.150964761864,-2982.8931881603025,-2983.1887805676133,-2983.227657268677,-2983.2674711516897,-2983.3081931959714,-2983.349791094114,-2983.39223326592,-2983.43549240986,-2983.47954385487,-2983.5243658889685,-2983.569938944828,-2984.1815879152937,-2984.100463393395,-2983.4814098403167,-2984.0612198443628,-2984.0227504975196,-2983.9849773393767,-2983.947925032448,-2983.911467709916,-2983.875606923497,-2983.840278491682,-2984.1405546683986,-2983.8054733753906,-2983.7711579438605,-2983.737308963169,-2983.703910586538,-2983.670941664376,-2983.6383890085795,-2983.6062367922577,-2983.5744738761987,-2983.5430881341413,-2983.5120699774243
co/2/co_2_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_formaldehyde-O-1-0_formaldehyde-O-1-0_4_LS,-2982.866824680073,-2982.9074735644754,-2983.5336560790042,-2982.9306654791817,-2982.9552980594967,-2982.9818706139904,-2983.0095043202464,-2983.0387931200103,-2983.0696006755065,-2983.10182687332,-2982.886232494807,-2983.1354233085904,-2983.170348132887,-2983.2065966045525,-2983.2440428812697,-2983.282202787829,-2983.3217075320563,-2983.362232557597,-2983.403729023264,-2983.4461545861463,-2983.489473506573,-2984.1740864666986,-2984.082427046105,-2983.393279435875,-2984.037957133766,-2983.9943828988844,-2983.9516671503084,-2983.9097424889155,-2983.8687218997056,-2983.828381638907,-2983.788722526885,-2984.1277491456494,-2983.7498434218883,-2983.711644223529,-2983.6741111389265,-2983.637220926119,-2983.601054078048,-2983.5648840568,-2983.529568448145,-2983.494775025374,-2983.4604767774445,-2983.4266861156707
co/2/co_2_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_carbonyl-C-0-0_4_HS,-3210.2347934443346,-3210.2957634967593,-3211.0709910576334,-3210.328860281313,-3210.363553205739,-3210.3997360272565,-3210.4373161777826,-3210.476201082005,-3210.516308980452,-3210.557504019955,-3210.264367076018,-3210.599855543131,-3210.6431454769217,-3210.6874298248426,-3210.7325744062455,-3210.7786078953905,-3210.8254368032235,-3210.873069686031,-3210.9214625078844,-3210.97059405847,-3211.0204432450914,-3211.645494939319,-3211.5607723176304,-3210.9393109645707,-3211.5211086711092,-3211.482327828889,-3211.4443332431333,-3211.4070634762747,-3211.3704225736356,-3211.334426073135,-3211.2989791913506,-3211.601978159451,-3211.264092331908,-3211.2297051513065,-3211.195792704803,-3211.162334234613,-3211.129310404396,-3211.096697251948,-3211.064482079695,-3211.032647499744,-3211.001182437616,-3210.9700734208586
co/2/co_2_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_carbonyl-C-0-0_4_LS,-3210.2434540261984,-3210.2919235555974,-3210.9925961512786,-3210.318893433561,-3210.347517538421,-3210.377748558578,-3210.4096642889385,-3210.4431068487847,-3210.4780301744554,-3210.514546033925,-3210.2667099454666,-3210.5521297232663,-3210.5912599213148,-3210.6317381387257,-3210.6734993586156,-3210.7158912541017,-3210.7596788891406,-3210.804501508558,-3210.850340065611,-3210.896868699097,-3210.944268497099,-3211.643652724894,-3211.5506163773466,-3210.855570304752,-3211.505543161853,-3211.461730569286,-3211.418378268785,-3211.376220532342,-3211.3347271788075,-3211.293959806319,-3211.2540629909877,-3211.596645489554,-3211.214874406486,-3211.175808908294,-3211.1379758451053,-3211.1008220100343,-3211.0642657018216,-3211.0283002590368,-3210.992993745483,-3210.9580950506306,-3210.923546901184,-3210.889177105075
